2024-07-23 20:59:57,477 INFO    MainThread:707 [wandb_setup.py:_flush():76] Current SDK version is 0.17.5
2024-07-23 20:59:57,478 INFO    MainThread:707 [wandb_setup.py:_flush():76] Configure stats pid to 707
2024-07-23 20:59:57,478 INFO    MainThread:707 [wandb_setup.py:_flush():76] Loading settings from /home/merfu/.config/wandb/settings
2024-07-23 20:59:57,478 INFO    MainThread:707 [wandb_setup.py:_flush():76] Loading settings from /mnt/d/PycharmProjects/openai/openai-env/wandb/settings
2024-07-23 20:59:57,478 INFO    MainThread:707 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-07-23 20:59:57,478 INFO    MainThread:707 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'ai_trained_model.py', 'program_abspath': '/mnt/d/PycharmProjects/openai/openai-env/ai_trained_model.py', 'program': '/mnt/d/PycharmProjects/openai/openai-env/ai_trained_model.py'}
2024-07-23 20:59:57,478 INFO    MainThread:707 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-07-23 20:59:57,479 INFO    MainThread:707 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-07-23 20:59:57,479 INFO    MainThread:707 [wandb_init.py:_log_setup():529] Logging user logs to /mnt/d/PycharmProjects/openai/openai-env/wandb/run-20240723_205957-enxwk3o7/logs/debug.log
2024-07-23 20:59:57,479 INFO    MainThread:707 [wandb_init.py:_log_setup():530] Logging internal logs to /mnt/d/PycharmProjects/openai/openai-env/wandb/run-20240723_205957-enxwk3o7/logs/debug-internal.log
2024-07-23 20:59:57,479 INFO    MainThread:707 [wandb_init.py:init():569] calling init triggers
2024-07-23 20:59:57,479 INFO    MainThread:707 [wandb_init.py:init():576] wandb.init called with sweep_config: {}
config: {}
2024-07-23 20:59:57,479 INFO    MainThread:707 [wandb_init.py:init():619] starting backend
2024-07-23 20:59:57,479 INFO    MainThread:707 [wandb_init.py:init():623] setting up manager
2024-07-23 20:59:57,481 INFO    MainThread:707 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-07-23 20:59:57,483 INFO    MainThread:707 [wandb_init.py:init():631] backend started and connected
2024-07-23 20:59:57,489 INFO    MainThread:707 [wandb_init.py:init():720] updated telemetry
2024-07-23 20:59:57,540 INFO    MainThread:707 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-07-23 20:59:58,066 INFO    MainThread:707 [wandb_run.py:_on_init():2435] communicating current version
2024-07-23 20:59:58,232 INFO    MainThread:707 [wandb_run.py:_on_init():2444] got version response 
2024-07-23 20:59:58,232 INFO    MainThread:707 [wandb_init.py:init():804] starting run threads in backend
2024-07-23 20:59:59,783 INFO    MainThread:707 [wandb_run.py:_console_start():2413] atexit reg
2024-07-23 20:59:59,783 INFO    MainThread:707 [wandb_run.py:_redirect():2255] redirect: wrap_raw
2024-07-23 20:59:59,784 INFO    MainThread:707 [wandb_run.py:_redirect():2320] Wrapping output streams.
2024-07-23 20:59:59,784 INFO    MainThread:707 [wandb_run.py:_redirect():2345] Redirects installed.
2024-07-23 20:59:59,786 INFO    MainThread:707 [wandb_init.py:init():847] run started, returning control to user process
2024-07-23 21:04:41,675 INFO    MainThread:707 [wandb_run.py:_finish():2107] finishing run merfuradu-ase/huggingface/enxwk3o7
2024-07-23 21:04:41,675 INFO    MainThread:707 [wandb_run.py:_atexit_cleanup():2374] got exitcode: 0
2024-07-23 21:04:41,676 INFO    MainThread:707 [wandb_run.py:_restore():2352] restore
2024-07-23 21:04:41,676 INFO    MainThread:707 [wandb_run.py:_restore():2358] restore done
2024-07-23 21:04:49,498 INFO    MainThread:707 [wandb_run.py:_footer_history_summary_info():4016] rendering history
2024-07-23 21:04:49,498 INFO    MainThread:707 [wandb_run.py:_footer_history_summary_info():4048] rendering summary
2024-07-23 21:04:49,508 INFO    MainThread:707 [wandb_run.py:_footer_sync_info():3975] logging synced files
